Case State,Num Fatalities In Crash,Number Of Ped Bike Forms,Vin,Vehicle Make Model,Registration State,Body Type,Gross Weight Rating Gvwr,Vin Truck Weight Code,Driver Height Inches,Crash Instance,Vehicle Instance,Occupant Instance,Nonmotorist Instance
New York,1,0,1XKDDU9X83J3,Kenworth - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",68,1,1,1,0
New York,1,0,1XKWDB9X22J8,Kenworth - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Truck-tractor (cab only, or with any number of trailing units; any weight)","26,001 lbs or more","33,001 or more",67,1,1,1,0
New York,1,0,1XKWDB9X5NS5,Kenworth - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",73,1,1,1,0
New York,1,0,1XP5DB0X36N8,Peterbilt - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (10,000 lbs < GVWR <or= 19,500 lbs)","10,001 - 26,000 lbs","33,001 or more",69,1,1,1,0
New York,1,0,1XP5DB0X53N5,Peterbilt - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Truck-tractor (cab only, or with any number of trailing units; any weight)","26,001 lbs or more","33,001 or more",68,1,1,1,0
New York,1,0,1XP5DB8X1RN3,Peterbilt - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",69,1,1,1,0
New York,1,0,1XP5DB9X2SN3,Peterbilt - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Truck-tractor (cab only, or with any number of trailing units; any weight)","26,001 lbs or more","33,001 or more",72,1,1,1,0
New York,1,0,1XPFDB9X43N5,Peterbilt - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Truck-tractor (cab only, or with any number of trailing units; any weight)","26,001 lbs or more","33,001 or more",74,1,1,1,0
New York,1,0,1XPFDU0X31S5,Peterbilt - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Truck-tractor (cab only, or with any number of trailing units; any weight)","26,001 lbs or more","33,001 or more",70,1,1,1,0
New York,1,0,2FZMAZDEX6AV,Other Make - Sterling,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",72,1,1,1,0
New York,1,0,2HSFBASR7VC0,International Harvester/Navistar - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",71,1,1,1,0
New York,1,0,2HSFHASR0WC0,International Harvester/Navistar - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Truck-tractor (cab only, or with any number of trailing units; any weight)","26,001 lbs or more","33,001 or more",68,1,1,1,0
New York,1,0,2NPNLD9X94M8,Peterbilt - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",68,1,1,2,0
New York,1,0,2XP5DB9X14M8,Peterbilt - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Truck-tractor (cab only, or with any number of trailing units; any weight)","26,001 lbs or more","33,001 or more",66,1,1,1,0
New York,1,0,4UZA4FA4XYCG,Freightliner/White - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (10,000 lbs < GVWR <or= 19,500 lbs)","10,001 - 26,000 lbs","14,001 - 16,000",71,1,1,1,0
New York,1,0,4UZA4FF43XCA,Freightliner/White - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (10,000 lbs < GVWR <or= 19,500 lbs)","10,001 - 26,000 lbs","14,001 - 16,000",72,1,1,1,0
New York,1,0,4V4NC9EJ98N2,Volvo - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Truck-tractor (cab only, or with any number of trailing units; any weight)","26,001 lbs or more","33,001 or more",74,1,1,1,0
New York,1,0,5KKSAEDE64PN,Other Make - WESTERN STAR,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",65,1,1,1,0
New York,1,0,J8DC4B144470,GMC - Med/Hvy COE low entry,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (10,000 lbs < GVWR <or= 19,500 lbs)","10,001 - 26,000 lbs","14,001 - 16,000",62,1,1,1,0
New York,1,0,JALC4B16X770,Isuzu - Med/Hvy COE low entry,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (10,000 lbs < GVWR <or= 19,500 lbs)","10,001 - 26,000 lbs","14,001 - 16,000",70,1,1,1,0
New York,1,0,JL6CCG1S88K0,Mitsubishi - Med/Hvy COE low entry,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (10,000 lbs < GVWR <or= 19,500 lbs)","10,001 - 26,000 lbs","16,001 - 19,500",70,1,1,1,0
New York,1,1,1FCLF53S020A,Ford - Motorhome truck based,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Medium / heavy truck based motorhome",Not applicable,"14,001 - 16,000",67,1,1,1,1
New York,1,1,1FDYW90L3GVA,Ford - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",71,1,1,1,1
New York,1,1,1FUYDXYB4TH6,Freightliner/White - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Truck-tractor (cab only, or with any number of trailing units; any weight)","26,001 lbs or more","33,001 or more",70,1,1,1,1
New York,1,1,1FVHALAV31LH,Freightliner/White - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",67,1,1,1,1
New York,1,1,1GDM7H1J2TJ5,GMC - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","26,001 - 33,000",69,1,1,1,1
New York,1,1,1HTLH0008GHA,International Harvester/Navistar - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Truck-tractor (cab only, or with any number of trailing units; any weight)","26,001 lbs or more","33,001 or more",65,1,1,1,1
New York,1,1,1M2AT04C67M0,Mack - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",70,1,1,1,1
New York,1,1,1M2K195C1SM0,Mack - Med/Hvy COE low entry,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",66,1,1,2,1
New York,1,1,1M2P267C7YM0,Mack - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",71,1,1,1,1
New York,1,1,1XKDDB0X56J1,Kenworth - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Truck-tractor (cab only, or with any number of trailing units; any weight)","26,001 lbs or more","33,001 or more",72,1,1,1,1
New York,1,1,2FZHAZCV04AM,Other Make - Sterling,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",69,1,1,1,1
New York,1,1,2FZHAZCV57AV,Other Make - Sterling,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",67,1,1,1,1
New York,1,1,2NPLLD0X25M8,Peterbilt - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",71,1,1,1,1
New York,1,1,3FRNW65C15V1,Ford - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (19,500 lbs < GVWR <or= 26,000 lbs)","10,001 - 26,000 lbs","19,501 - 26,000",Unknown height,1,1,4,1
New York,1,1,4UZAANCP97CY,Freightliner/White - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Step van","10,001 - 26,000 lbs","14,001 - 16,000",69,1,1,1,2
New York,1,1,4V5SC2UF6YN5,Volvo - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",Unknown height,1,1,1,1
New York,1,1,4VHSCBPF1VR5,Volvo - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",71,1,1,1,1
New York,1,1,JHBSG1JP431S,Other Make - HINO,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","26,001 - 33,000",67,1,1,1,1
New York,1,2,1M2H139C4FM0,Mack - Med/Hvy COE low entry,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",70,1,1,1,2
New York,2,0,1M2P268C1YM0,Mack - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",69,1,1,1,0
New York,2,0,2FVNFXYB9WA8,Freightliner/White - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",75,1,1,1,0
New York,2,0,4VHJCCPF6XN8,Volvo - Med/Hvy COE high entry,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",72,1,1,1,0
New York,2,3,1FDNK64P0MVA,Ford - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (19,500 lbs < GVWR <or= 26,000 lbs)","10,001 - 26,000 lbs","19,501 - 26,000",Unknown height,1,1,0,3
Pennsylvania,1,0,1FDZS96W8VVA,Ford - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",Unknown height,1,1,1,0
Pennsylvania,1,0,1FUJA6CK07LX,Freightliner/White - Med/Hvy COE high entry,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Truck-tractor (cab only, or with any number of trailing units; any weight)","26,001 lbs or more","33,001 or more",75,1,1,1,0
Pennsylvania,1,0,1M2P324C2YM0,Mack - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","33,001 or more",72,1,1,1,0
Pennsylvania,1,0,1XKTD49X79J2,Kenworth - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Truck-tractor (cab only, or with any number of trailing units; any weight)","26,001 lbs or more","33,001 or more",70,1,1,1,0
Pennsylvania,1,0,4V4NC9TJ96N4,Volvo - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Truck-tractor (cab only, or with any number of trailing units; any weight)","26,001 lbs or more","33,001 or more",69,1,1,1,0
Pennsylvania,1,0,5KJJALCV24PM,Other Make - WESTERN STAR,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Truck-tractor (cab only, or with any number of trailing units; any weight)","26,001 lbs or more","33,001 or more",70,1,1,1,0
Pennsylvania,1,1,4V4NC9TK59N4,Volvo - Med/Hvy unk engine location,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Truck-tractor (cab only, or with any number of trailing units; any weight)","26,001 lbs or more","33,001 or more",Unknown height,1,1,0,1
Pennsylvania,2,0,1HTMMAAN05H1,International Harvester/Navistar - Med/Hvy CBE,New York,"Heavy/Medium Vehicles (GVWR > 10,000 lbs.) - Single unit straight truck (GVWR > 26,000 lbs)","26,001 lbs or more","26,001 - 33,000",72,1,1,1,0
